46106,Adam Le Fondre
4257,Samuel Eto'o
147483,Michaël Pereira
5489,Antoine Sibierski
59561,Dani Parejo
4267,Tim Howard
14511,Carlos Martins
57522,Andrés Fernández
225459,Carlos Hernández
4276,Carlos Tévez
44062,Antonio Adán
284854,Carles Aleñá
51383,Manuel Arana
126509,Dani Jiménez
1397,Michael Owen
16577,Juantxo Elía
221899,Leo Baptistão
61814,David Button
44065,Esteban Granero
317818,Carlos Abad
63689,Fran Rico
16589,Pierre Webó
205006,Rick Karsdorp
35533,Bernardo Domínguez
61651,Jordan Henderson
18644,Álvaro Negredo
22741,Morten Gamst Pedersen
4311,Maarten Stekelenburg
35537,Felipe Melo
14555,Scott Carson
196829,Timon Wellenreuther
22750,Nilmar
27685,Juan Pablo
67808,Borja García
58064,Jonathan López
61819,Charlie Daniels
12516,Peter Odemwingie
45287,Adel Taarabt
4329,Mido
63723,David Lombán
16621,Manuel Almunia
7668,Alberto Cifuentes
59631,Nacer Chadli
39152,Falcao
39153,Gonzalo Higuaín
32467,Ivan Rakitic
453704,Álvaro Fernández
162038,Raúl de Tomás
178425,Dani García
93047,Jona
89471,Dani Barrio
262396,Unai Simón
61694,Neil Etheridge
14037,Marlon King
247250,Rubén Alcaraz
33027,Tim Krul
4358,Mateja Kezman
174344,Fayçal Fajr
110858,Benik Afobe
16651,Enzo Maresca
213260,Rubén García
224091,Diego Rivas
71953,Javi Soria
26898,Roman Bednár
3459,Gary Speed
119061,Tim Coremans
23102,Riki
119066,Bryan Smeets
35099,Steven Fletcher
4380,Robin van Persie
162079,Fede Vico
51488,Néstor Susaeta
98596,John Guidetti
37157,Stéphane Sessègnon
176423,Jesús Imaz
397608,Hugo Eyre
226012,David Soria
76076,Eñaut Zubikarai
12589,Craig Gordon
51504,Jaime Jiménez
50202,Eden Hazard
37171,Craig Gardner
92469,Matt Ritchie
77003,Tino Costa
33079,Rubén Pérez
84281,Dennis Telgenkamp
22820,Túlio de Melo
71002,Carlos Caballero
28990,Charlie Adam
23197,Alessandro Diamanti
51522,Suso Santana
9611,Christian Wilhelmsson
73782,Adrián Ramos
18758,Afonso Alves
45383,Adrián López
223560,Luciano
16716,Danny Guthrie
7717,José Antonio Reyes
9422,Allan McGregor
4433,Riga Mustapha
35541,Roberto Santamaría
73185,Lucas Pérez
212862,Alex Remiro
342,Gábor Király
85324,Borja Bastón
51545,Mario Bermejo
45403,André Ayew
141660,Jesse Lingard
57693,Mario Fernández
129515,Chuli
184672,Guido Carrillo
90466,Gylfi Sigurdsson
364603,José Manuel Arnáiz
51556,Chema
176485,Lucas Piazón
51559,Mikel Arruabarrena
74088,Declan Rudd
145769,Sergio León
16746,Niko Kranjcar
25319,Momo
231790,Lolo González
8559,Yakubu Aiyegbeni
100722,Lago Júnior
128220,Luis Alberto
53622,Ilkay Gündogan
35193,Kevin Doyle
29050,Iñaki Goitia
29051,Manolo Reina
158076,Néstor Salinas
44778,Vítor Silva
268670,Gerard Gumbau
51583,Iván Alonso
337922,Esteban Burgos
44779,Diego Costa
29061,Javier Baraja
59343,Manu Herrera
45121,Loïc Rémy
29065,Abel Gómez
74960,Martin Dubravka
326029,Donyell Malen
72079,Manu
61842,Andros Townsend
13516,John Filan
340376,Abel Ruiz
256429,Sergi Guardiola
240026,Jorge Díaz
149231,Fidel
27036,Ben Alnwick
29085,Abel Buades
263727,Joan Jordán
29091,Nenê
41384,Marko Arnautovic
20905,Esteban Solari
35242,Beto
3826,Lucas Neill
51632,César Díaz
131505,Rodrigo
381362,Wesley
23966,Jérémy Perbet
45494,Wayne Hennessey
65976,Hal Robson-Kanu
6585,Kalu Uche
33210,Przemyslaw Tyton
71279,Carlos Valverde
22973,Mariano Pernía
6590,Andreas Isaksson
57791,Diego Castro
295360,Francis Uzoho
171424,Riyad Mahrez
119235,Carlos Bacca
129476,Gerard Deulofeu
207302,Sergio Rico
57800,Roberto Fernández
256567,Aleksandar Jovanovic
50935,Chicharito
128223,Álvaro Morata
88528,Dani Hernández
29138,Manolo Pérez
29139,Armando
18900,Hatem Ben Arfa
25316,Rubén Castro
88397,Tomeu Nadal
146227,Jasper Cillessen
4570,Denny Landzaat
81999,Joselu
23290,Pablo Pinillos
45775,Nauzet Alemán
245157,Borja Martínez
29152,Danny Graham
125409,Nathaniel Mendez-Laing
246244,Sergio Aguza
29159,Ross Turnbull
488,Gerhard Tremmel
126716,Paco Alcácer
18922,Karim Benzema
52647,Júlio César
29167,Gorka Brit
76273,Manu García
96754,Fabio Borini
51699,Jacobo Sanz
16126,Cristian Álvarez
74230,Pablo Sarabia
49655,Rickie Lambert
122155,Willian José
29178,Nino
4605,Vladan Kujovic
51710,Sergio Asenjo
254037,Isaac Carcelén
64000,Tomas Vaclik
72194,Juan José Collantes
18949,Mémé Tchité
197126,Kenan Kodro
29193,Rubén Suárez
57866,Adrián Colunga
141835,Álvaro Vázquez
37389,Daniel Osvaldo
12814,Julián Speroni
16911,Kasper Schmeichel
129554,Steven Berghuis
56067,Pablo Piatti
37399,Manu del Moral
34564,Xisco
16922,Kevin-Prince Boateng
37403,Roberto
152776,Nono
63706,Mikel Saizar
3163,Frank Lampard
72228,Aníbal Zurdo
3686,Danny Higginbotham
82471,Iker Guarrotxena
57896,Queco Piña
70959,Toni García
47659,Costel Pantilimon
